actor_name,tier
Robert De Niro,1
Morgan Freeman,1
Johnny Depp,1
Bruce Willis,1
Matt Damon,1
Steve Buscemi,1
Liam Neeson,1
Brad Pitt,1
Bill Murray,1
Nicolas Cage,1
Will Ferrell,1
Denzel Washington,1
J.K. Simmons,1
Scarlett Johansson,1
Anthony Hopkins,1
Jim Broadbent,1
Tom Cruise,1
Harrison Ford,1
Robert Downey Jr.,1
Christian Bale,1
James Franco,1
Tom Hanks,1
Robin Williams,1
Sylvester Stallone,1
Julia Roberts,1
Tom Wilkinson,1
Kirsten Dunst,1
Jason Statham,1
Matthew McConaughey,1
Meryl Streep,1
Gerard Butler,1
Judy Greer,1
Philip Seymour Hoffman,1
Angelina Jolie Pitt,1
Keanu Reeves,1
Robert Duvall,1
Jeff Bridges,1
Hugh Jackman,1
Charlize Theron,1
Anne Hathaway,1
Adam Sandler,1
Dwayne Johnson,1
Gary Oldman,1
Kevin Spacey,1
Naomi Watts,1
Leonardo DiCaprio,1
Kate Winslet,1
Dennis Quaid,1
Channing Tatum,1
Rosario Dawson,1
Al Pacino,1
Oliver Platt,1
Stephen Root,1
Jake Gyllenhaal,1
Bradley Cooper,1
Natalie Portman,1
Will Smith,1
Jason Flemyng,1
Kristen Stewart,1
Steve Carell,1
Joseph Gordon-Levitt,1
Milla Jovovich,1
Zooey Deschanel,1
Vin Diesel,1
Paul Walker,1
Salma Hayek,1
Bruce Greenwood,1
Viggo Mortensen,1
Colin Firth,1
Ryan Reynolds,1
Jon Favreau,1
Ray Winstone,1
Jada Pinkett Smith,1
Brendan Fraser,1
Chloë Grace Moretz,1
Ryan Gosling,1
Scott Glenn,1
Steve Coogan,1
Bruce McGill,1
Clint Eastwood,1
Demi Moore,1
Bob Hoskins,1
William Hurt,1
John Heard,1
Michael Rapaport,1
Clifton Collins Jr.,1
Matthew Broderick,1
Sam Shepard,1
Josh Hutcherson,1
Jamie Lee Curtis,1
Michael Fassbender,1
Chazz Palminteri,1
Djimon Hounsou,1
Christopher Lee,1
Jennifer Jason Leigh,1
Delroy Lindo,1
Chris Hemsworth,1
Anna Kendrick,1
Jennifer Lawrence,1
Don Cheadle,1
Mila Kunis,1
Gary Cole,1
Lin Shaye,1
Olivia Wilde,1
Jennifer Garner,1
Mike Epps,1
Catherine O'Hara,1
Jay Hernandez,1
Peter Dinklage,1
Frank Langella,1
Martin Landau,1
Jon Lovitz,1
Amy Poehler,1
Adam Scott,1
Emma Stone,1
Bernie Mac,1
Alfre Woodard,1
Loretta Devine,1
Nia Long,1
Rip Torn,1
Michael Angarano,1
Robin Wright,1
Thomas Kretschmann,1
Bill Cobbs,1
Kristin Scott Thomas,1
Rufus Sewell,1
Tom Hardy,1
Mekhi Phifer,1
Jet Li,1
Holly Hunter,1
Mike Starr,1
Chris Evans,1
Minnie Driver,1
Daniel Radcliffe,1
Vivica A. Fox,1
Paul Sorvino,1
Sarah Michelle Gellar,1
Thomas Lennon,1
Natasha Lyonne,1
Bruce Dern,1
Logan Lerman,1
Cary-Hiroyuki Tagawa,1
Bokeem Woodbine,1
Jeremy Renner,1
Udo Kier,1
Virginia Madsen,1
Charlotte Rampling,1
Alexa PenaVega,1
Mark Margolis,1
Fred Willard,1
Aidan Quinn,1
Radha Mitchell,1
Michael Biehn,1
Eddie Marsan,1
Fisher Stevens,1
Tim Blake Nelson,1
Adam Goldberg,1
Toby Jones,1
Olivia Williams,1
Tony Curran,1
Woody Allen,1
Joan Allen,1
Orlando Bloom,1
Callum Rennie,1
Hayden Christensen,1
Nathan Lane,1
Dominic Cooper,1
Shirley Henderson,1
David Oyelowo,1
Cole Hauser,1
Mako,1
Michael Wincott,1
Anjelica Huston,1
Cheech Marin,1
Alan Rickman,1
Kelly Preston,1
Vanessa Redgrave,1
