director_name,tier
Steven Spielberg,1
Woody Allen,1
Clint Eastwood,1
Martin Scorsese,1
Ridley Scott,1
Tim Burton,1
Steven Soderbergh,1
Spike Lee,1
Renny Harlin,1
Oliver Stone,1
Joel Schumacher,1
Michael Bay,1
Robert Rodriguez,1
Barry Levinson,1
Sam Raimi,1
Robert Zemeckis,1
John Carpenter,1
Ron Howard,1
Shawn Levy,1
Kevin Smith,1
Tony Scott,1
Brian De Palma,1
Richard Donner,1
Wes Craven,1
Peter Jackson,1
Chris Columbus,1
Francis Ford Coppola,1
Richard Linklater,1
Rob Cohen,1
Stephen Frears,1
Rob Reiner,1
David Fincher,1
John McTiernan,1
Brett Ratner,1
Paul W.S. Anderson,1
Bobby Farrelly,1
Lasse Hallström,1
Phillip Noyce,1
Danny Boyle,1
M. Night Shyamalan,1
Kenneth Branagh,1
Dennis Dugan,1
George A. Romero,1
Martin Campbell,1
Tyler Perry,1
Roland Emmerich,1
Marc Forster,1
George Miller,1
Zack Snyder,1
Bryan Singer,1
Ivan Reitman,1
Yimou Zhang,1
Adam Shankman,1
Ang Lee,1
Frank Oz,1
Neil Jordan,1
Edward Zwick,1
Jay Roach,1
Jaume Collet-Serra,1
Stephen Herek,1
Guy Ritchie,1
James Mangold,1
F. Gary Gray,1
David Gordon Green,1
Frank Coraci,1
Sam Mendes,1
Garry Marshall,1
Quentin Tarantino,1
Christopher Nolan,1
Joe Wright,1
David O. Russell,1
Simon West,1
Harold Ramis,1
Donald Petrie,1
Antoine Fuqua,1
Alfred Hitchcock,1
Wes Anderson,1
Peter Segal,1
Paul Greengrass,1
Todd Phillips,1
Louis Leterrier,1
Terry Gilliam,1
William Friedkin,1
Joe Dante,1
John Singleton,1
Roger Donaldson,1
Cameron Crowe,1
Stanley Kubrick,1
David Cronenberg,1
James Cameron,1
Catherine Hardwicke,1
Gus Van Sant,1
David Ayer,1
Malcolm D. Lee,1
Paul Schrader,1
Jon Favreau,1
Tobe Hooper,1
Mel Brooks,1
Jon Turteltaub,1
Wolfgang Petersen,1
Barry Sonnenfeld,1
Tom Shadyac,1
Gore Verbinski,1
Doug Liman,1
Paul McGuigan,1
Michael Winterbottom,1
James Ivory,1
James Wan,1
Mike Newell,1
Ethan Coen,1
Brian Levant,1
Brian Robbins,1
Jason Reitman,1
Peter Hyams,1
Peter Berg,1
Mike Nichols,1
Tim Story,1
Jonathan Liebesman,1
Taylor Hackford,1
Michael Moore,1
Roman Polanski,1
Robert Luketic,1
Raja Gosnell,1
Lana Wachowski,1
McG,1
Andy Tennant,1
Michael Mann,1
Chuck Russell,1
Atom Egoyan,1
Adam McKay,1
John Woo,1
Sidney Lumet,1
Bill Condon,1
Darren Aronofsky,1
